secuence,volcan,sec,min,hours,days,Years,Temp Type,Tmin,Tmax,mid seasons,obs
5.0,Erosion,,,32876.71232876712,1369.86301369863,500000.0,Range,5.0,40.0,15.0,Variable in a year
4.0,Cooling,,,720.0,30.0,0.0821917808219178,Range,15.0,1200.0,,
3.0,Eruption,,,1200.0,50.0,0.136986301369863,integer,1200.0,1200.0,,
2.0,Rising,,,438000000.0,18250000.0,50000.0,integer,1250.0,1250.0,,
1.0,Formation,,,1752000000.0,73000000.0,200000.0,integer,1500.0,1500.0,,
5.0,Fracture,1.0,0.016666666666666666,0.0002777777777777778,,,Integer,20.0,20.0,,
4.0,Cooling,7200.0,120.0,2.0,,,Range,20.0,1200.0,,
3.0,Pouring,120.0,2.0,0.03333333333333333,,,Integer,1200.0,1200.0,,
2.0,Melting,1200.0,20.0,0.3333333333333333,,,Integer,1500.0,1500.0,,
1.0,Heating,7200.0,120.0,2.0,,,Integer,1200.0,1200.0,,
5.0,Fracture,1.0,0.016666666666666666,0.0002777777777777778,,,Integer,20.0,20.0,,
4.0,Cooling,86400.0,1440.0,24.0,,,Range,20.0,1200.0,,
3.0,Pouring,120.0,2.0,0.03333333333333333,,,Integer,1200.0,1200.0,,
2.0,Melting,1200.0,20.0,0.3333333333333333,,,Integer,1500.0,1500.0,,
1.0,Heating,7200.0,120.0,2.0,,,Integer,1200.0,1200.0,,
